year,date,event,type
2020,"April 1, 2020, Wednesday",Bank's Holiday,Govt
2020,"April 10, 2020, Friday",Good Friday,Christian
2020,"April 12, 2020, Sunday",Easter,Christian
2020,"April 13, 2020, Monday",Solar New Year,Hindu
2020,"April 13, 2020, Monday",Baisakhi,Sikh
2020,"April 14, 2020, Tuesday",Ambedkar Jayanti,Govt
2020,"April 18, 2020, Saturday",Vallabhacharya Jayanti,Hindu
2020,"April 2, 2020, Thursday",Rama Navami,Hindu
2020,"April 22, 2020, Wednesday",Earth Day,Modern
2020,"April 28, 2020, Tuesday",Shankaracharya Jayanti,Hindu
2020,"April 28, 2020, Tuesday",Surdas Jayanti,Hindu
2020,"April 6, 2020, Monday",Mahavir Swami Jayanti,Hindu
2020,"August 11, 2020, Tuesday",Janmashtami *Smarta,Hindu
2020,"August 12, 2020, Wednesday",Janmashtami *ISKCON,Hindu
2020,"August 15, 2020, Saturday",Independence Day,Govt
2020,"August 2, 2020, Sunday",Friendship Day,Modern
2020,"August 20, 2020, Thursday",Al-Hijra,Islamic
2020,"August 20, 2020, Thursday",Islamic New Year,Islamic
2020,"August 22, 2020, Saturday",Ganesh Chaturthi,Hindu
2020,"August 29, 2020, Saturday",Day of Ashura,Islamic
2020,"August 29, 2020, Saturday",Muharram,Islamic
2020,"August 3, 2020, Monday",Raksha Bandhan,Hindu
2020,"August 3, 2020, Monday",Rakhi,Hindu
2020,"August 31, 2020, Monday",Onam,Hindu
2020,"December 1, 2020, Tuesday",World AIDS Day,Modern
2020,"December 21, 2020, Monday",Shortest Day of Year,Hindu
2020,"December 25, 2020, Friday",Merry Christmas,Christian
2020,"February 14, 2020, Friday",Valentine's Day,Modern
2020,"February 18, 2020, Tuesday",Maharishi Dayanand Saraswati Jayanti,Hindu
2020,"February 19, 2020, Wednesday",Chhatrapati Shivaji Maharaj Jayanti,Govt
2020,"February 21, 2020, Friday",Maha Shivaratri,Hindu
2020,"February 25, 2020, Tuesday",Ramakrishna Jayanti,Hindu
2020,"February 4, 2020, Tuesday",World Cancer Day,Modern
2020,"February 9, 2020, Sunday",Guru Ravidas Jayanti,Hindu
2020,"January 1, 2020, Wednesday",English New Year,Christian
2020,"January 12, 2020, Sunday",Swami Vivekananda Jayanti,Govt
2020,"January 12, 2020, Sunday",National Youth Day,Modern
2020,"January 14, 2020, Tuesday",Lohri,Sikh
2020,"January 15, 2020, Wednesday",Makara Sankranti,Hindu
2020,"January 15, 2020, Wednesday",Pongal,Hindu
2020,"January 17, 2020, Friday",Vivekananda Jayanti *Samvat,Hindu
2020,"January 2, 2020, Thursday",Guru Gobind Singh Jayanti,Hindu
2020,"January 23, 2020, Thursday",Subhas Chandra Bose Jayanti,Govt
2020,"January 26, 2020, Sunday",Republic Day,Govt
2020,"January 29, 2020, Wednesday",Vasant Panchami,Hindu
2020,"January 30, 2020, Thursday",Gandhi Punyatithi,Govt
2020,"January 6, 2020, Monday",Tailang Swami Jayanti,Hindu
2020,"July 27, 2020, Monday",Tulsidas Jayanti,Hindu
2020,"July 31, 2020, Friday",Eid al-Adha,Islamic
2020,"July 31, 2020, Friday",Bakrid,Islamic
2020,"July 5, 2020, Sunday",Guru Purnima,Hindu
2020,"June 21, 2020, Sunday",Longest Day of Year,Hindu
2020,"June 21, 2020, Sunday",Father's Day,Modern
2020,"June 21, 2020, Sunday",International Yoga Day,Modern
2020,"June 23, 2020, Tuesday",Jagannath Rathyatra,Hindu
2020,"June 5, 2020, Friday",Kabirdas Jayanti,Hindu
2020,"June 5, 2020, Friday",World Environment Day,Modern
2020,"March 10, 2020, Tuesday",Holi,Hindu
2020,"March 12, 2020, Thursday",Chhatrapati Shivaji Maharaj Jayanti,Hindu
2020,"March 20, 2020, Friday",Vernal Equinox,Hindu
2020,"March 20, 2020, Friday",Parsi New Year,Hindu
2020,"March 23, 2020, Monday",Shaheed Diwas,Govt
2020,"March 25, 2020, Wednesday",Ugadi,Hindu
2020,"March 25, 2020, Wednesday",Gudi Padwa,Hindu
2020,"March 25, 2020, Wednesday",Jhulelal Jayanti,Hindu
2020,"March 8, 2020, Sunday",Hazarat Ali's Birthday,Islamic
2020,"March 8, 2020, Sunday",International Women's Day,Modern
2020,"March 9, 2020, Monday",Chhoti Holi,Hindu
2020,"March 9, 2020, Monday",Holika Dahan,Hindu
2020,"March 9, 2020, Monday",Chaitanya Mahaprabhu Jayanti,Hindu
2020,"May 1, 2020, Friday",International Workers' Day,Modern
2020,"May 10, 2020, Sunday",Mother's Day,Modern
2020,"May 22, 2020, Friday",Jamat Ul-Vida,Islamic
2020,"May 24, 2020, Sunday",Eid al-Fitr,Islamic
2020,"May 24, 2020, Sunday",Ramadan,Islamic
2020,"May 25, 2020, Monday",Maharana Pratap Jayanti,Hindu
2020,"May 3, 2020, Sunday",World Laughter Day,Modern
2020,"May 31, 2020, Sunday",World No Tobacco Day,Modern
2020,"May 7, 2020, Thursday",Buddha Purnima,Hindu
2020,"May 7, 2020, Thursday",Rabindranath Tagore Jayanti,Govt
2020,"November 14, 2020, Saturday",Lakshmi Puja,Hindu
2020,"November 14, 2020, Saturday",Narak Chaturdashi,Hindu
2020,"November 14, 2020, Saturday",Diwali,Hindu
2020,"November 14, 2020, Saturday",Nehru Jayanti,Govt
2020,"November 14, 2020, Saturday",Children's Day,Modern
2020,"November 15, 2020, Sunday",Govardhan Puja,Hindu
2020,"November 16, 2020, Monday",Bhaiya Dooj,Hindu
2020,"November 20, 2020, Friday",Chhath Puja,Hindu
2020,"November 30, 2020, Monday",Guru Nanak Jayanti,Hindu
2020,"November 4, 2020, Wednesday",Karwa Chauth,Hindu
2020,"October 17, 2020, Saturday",Maharaja Agrasen Jayanti,Hindu
2020,"October 2, 2020, Friday",Gandhi Jayanti,Govt
2020,"October 24, 2020, Saturday",Durga Ashtami,Hindu
2020,"October 24, 2020, Saturday",Maha Navami,Hindu
2020,"October 25, 2020, Sunday",Dussehra,Hindu
2020,"October 26, 2020, Monday",Madhvacharya Jayanti,Hindu
2020,"October 29, 2020, Thursday",Milad un-Nabi,Islamic
2020,"October 29, 2020, Thursday",Eid-e-Milad,Islamic
2020,"October 31, 2020, Saturday",Valmiki Jayanti,Hindu
2020,"October 31, 2020, Saturday",Meerabai Jayanti,Hindu
2020,"September 14, 2020, Monday",Hindi Diwas,Modern
2020,"September 15, 2020, Tuesday",Visvesvaraya Jayanti,Govt
2020,"September 15, 2020, Tuesday",Engineer's Day,Modern
2020,"September 22, 2020, Tuesday",Autumnal Equinox,Hindu
2020,"September 5, 2020, Saturday",Teachers' Day,Modern
2021,"April 1, 2021, Thursday",Bank's Holiday,Govt
2021,"April 13, 2021, Tuesday",Ugadi,Hindu
2021,"April 13, 2021, Tuesday",Gudi Padwa,Hindu
2021,"April 13, 2021, Tuesday",Jhulelal Jayanti,Hindu
2021,"April 14, 2021, Wednesday",Solar New Year,Hindu
2021,"April 14, 2021, Wednesday",Ambedkar Jayanti,Govt
2021,"April 14, 2021, Wednesday",Baisakhi,Sikh
2021,"April 2, 2021, Friday",Good Friday,Christian
2021,"April 21, 2021, Wednesday",Rama Navami,Hindu
2021,"April 22, 2021, Thursday",Earth Day,Modern
2021,"April 25, 2021, Sunday",Mahavir Swami Jayanti,Hindu
2021,"April 4, 2021, Sunday",Easter,Christian
2021,"August 1, 2021, Sunday",Friendship Day,Modern
2021,"August 10, 2021, Tuesday",Al-Hijra,Islamic
2021,"August 10, 2021, Tuesday",Islamic New Year,Islamic
2021,"August 15, 2021, Sunday",Tulsidas Jayanti,Hindu
2021,"August 15, 2021, Sunday",Independence Day,Govt
2021,"August 19, 2021, Thursday",Day of Ashura,Islamic
2021,"August 19, 2021, Thursday",Muharram,Islamic
2021,"August 21, 2021, Saturday",Onam,Hindu
2021,"August 22, 2021, Sunday",Raksha Bandhan,Hindu
2021,"August 22, 2021, Sunday",Rakhi,Hindu
2021,"August 30, 2021, Monday",Krishna Janmashtami,Hindu
2021,"December 1, 2021, Wednesday",World AIDS Day,Modern
2021,"December 21, 2021, Tuesday",Shortest Day of Year,Hindu
2021,"December 25, 2021, Saturday",Merry Christmas,Christian
2021,"February 14, 2021, Sunday",Valentine's Day,Modern
2021,"February 16, 2021, Tuesday",Vasant Panchami,Hindu
2021,"February 19, 2021, Friday",Chhatrapati Shivaji Maharaj Jayanti,Govt
2021,"February 25, 2021, Thursday",Hazarat Ali's Birthday,Islamic
2021,"February 27, 2021, Saturday",Guru Ravidas Jayanti,Hindu
2021,"February 4, 2021, Thursday",Vivekananda Jayanti *Samvat,Hindu
2021,"February 4, 2021, Thursday",World Cancer Day,Modern
2021,"January 1, 2021, Friday",English New Year,Christian
2021,"January 12, 2021, Tuesday",Swami Vivekananda Jayanti,Govt
2021,"January 12, 2021, Tuesday",National Youth Day,Modern
2021,"January 13, 2021, Wednesday",Lohri,Sikh
2021,"January 14, 2021, Thursday",Makara Sankranti,Hindu
2021,"January 14, 2021, Thursday",Pongal,Hindu
2021,"January 20, 2021, Wednesday",Guru Gobind Singh Jayanti,Hindu
2021,"January 23, 2021, Saturday",Subhas Chandra Bose Jayanti,Govt
2021,"January 24, 2021, Sunday",Tailang Swami Jayanti,Hindu
2021,"January 26, 2021, Tuesday",Republic Day,Govt
2021,"January 30, 2021, Saturday",Gandhi Punyatithi,Govt
2021,"July 12, 2021, Monday",Jagannath Rathyatra,Hindu
2021,"July 20, 2021, Tuesday",Eid al-Adha,Islamic
2021,"July 20, 2021, Tuesday",Bakrid,Islamic
2021,"July 24, 2021, Saturday",Guru Purnima,Hindu
2021,"June 13, 2021, Sunday",Maharana Pratap Jayanti,Hindu
2021,"June 20, 2021, Sunday",Father's Day,Modern
2021,"June 21, 2021, Monday",Longest Day of Year,Hindu
2021,"June 21, 2021, Monday",International Yoga Day,Modern
2021,"June 24, 2021, Thursday",Kabirdas Jayanti,Hindu
2021,"June 5, 2021, Saturday",World Environment Day,Modern
2021,"March 11, 2021, Thursday",Maha Shivaratri,Hindu
2021,"March 15, 2021, Monday",Ramakrishna Jayanti,Hindu
2021,"March 20, 2021, Saturday",Vernal Equinox,Hindu
2021,"March 20, 2021, Saturday",Parsi New Year,Hindu
2021,"March 23, 2021, Tuesday",Shaheed Diwas,Govt
2021,"March 28, 2021, Sunday",Chhoti Holi,Hindu
2021,"March 28, 2021, Sunday",Holika Dahan,Hindu
2021,"March 28, 2021, Sunday",Chaitanya Mahaprabhu Jayanti,Hindu
2021,"March 29, 2021, Monday",Holi,Hindu
2021,"March 31, 2021, Wednesday",Chhatrapati Shivaji Maharaj Jayanti,Hindu
2021,"March 8, 2021, Monday",Maharishi Dayanand Saraswati Jayanti,Hindu
2021,"March 8, 2021, Monday",International Women's Day,Modern
2021,"May 1, 2021, Saturday",International Workers' Day,Modern
2021,"May 13, 2021, Thursday",Eid al-Fitr,Islamic
2021,"May 13, 2021, Thursday",Ramadan,Islamic
2021,"May 17, 2021, Monday",Shankaracharya Jayanti,Hindu
2021,"May 17, 2021, Monday",Surdas Jayanti,Hindu
2021,"May 2, 2021, Sunday",World Laughter Day,Modern
2021,"May 26, 2021, Wednesday",Buddha Purnima,Hindu
2021,"May 31, 2021, Monday",World No Tobacco Day,Modern
2021,"May 7, 2021, Friday",Vallabhacharya Jayanti,Hindu
2021,"May 7, 2021, Friday",Rabindranath Tagore Jayanti,Govt
2021,"May 7, 2021, Friday",Jamat Ul-Vida,Islamic
2021,"May 9, 2021, Sunday",Mother's Day,Modern
2021,"November 10, 2021, Wednesday",Chhath Puja,Hindu
2021,"November 14, 2021, Sunday",Nehru Jayanti,Govt
2021,"November 14, 2021, Sunday",Children's Day,Modern
2021,"November 19, 2021, Friday",Guru Nanak Jayanti,Hindu
2021,"November 4, 2021, Thursday",Lakshmi Puja,Hindu
2021,"November 4, 2021, Thursday",Narak Chaturdashi,Hindu
2021,"November 4, 2021, Thursday",Diwali,Hindu
2021,"November 5, 2021, Friday",Govardhan Puja,Hindu
2021,"November 6, 2021, Saturday",Bhaiya Dooj,Hindu
2021,"October 13, 2021, Wednesday",Durga Ashtami,Hindu
2021,"October 14, 2021, Thursday",Maha Navami,Hindu
2021,"October 15, 2021, Friday",Dussehra,Hindu
2021,"October 15, 2021, Friday",Madhvacharya Jayanti,Hindu
2021,"October 19, 2021, Tuesday",Milad un-Nabi,Islamic
2021,"October 19, 2021, Tuesday",Eid-e-Milad,Islamic
2021,"October 2, 2021, Saturday",Gandhi Jayanti,Govt
2021,"October 20, 2021, Wednesday",Valmiki Jayanti,Hindu
2021,"October 20, 2021, Wednesday",Meerabai Jayanti,Hindu
2021,"October 24, 2021, Sunday",Karwa Chauth,Hindu
2021,"October 7, 2021, Thursday",Maharaja Agrasen Jayanti,Hindu
2021,"September 10, 2021, Friday",Ganesh Chaturthi,Hindu
2021,"September 14, 2021, Tuesday",Hindi Diwas,Modern
2021,"September 15, 2021, Wednesday",Visvesvaraya Jayanti,Govt
2021,"September 15, 2021, Wednesday",Engineer's Day,Modern
2021,"September 23, 2021, Thursday",Autumnal Equinox,Hindu
2021,"September 5, 2021, Sunday",Teachers' Day,Modern
2022,"April 1, 2022, Friday",Bank's Holiday,Govt
2022,"April 10, 2022, Sunday",Rama Navami,Hindu
2022,"April 14, 2022, Thursday",Mahavir Swami Jayanti,Hindu
2022,"April 14, 2022, Thursday",Solar New Year,Hindu
2022,"April 14, 2022, Thursday",Ambedkar Jayanti,Govt
2022,"April 14, 2022, Thursday",Baisakhi,Sikh
2022,"April 15, 2022, Friday",Good Friday,Christian
2022,"April 17, 2022, Sunday",Easter,Christian
2022,"April 2, 2022, Saturday",Ugadi,Hindu
2022,"April 2, 2022, Saturday",Gudi Padwa,Hindu
2022,"April 2, 2022, Saturday",Jhulelal Jayanti,Hindu
2022,"April 22, 2022, Friday",Earth Day,Modern
2022,"April 26, 2022, Tuesday",Vallabhacharya Jayanti,Hindu
2022,"April 29, 2022, Friday",Jamat Ul-Vida,Islamic
2022,"August 11, 2022, Thursday",Raksha Bandhan,Hindu
2022,"August 11, 2022, Thursday",Rakhi,Hindu
2022,"August 15, 2022, Monday",Independence Day,Govt
2022,"August 18, 2022, Thursday",Janmashtami *Smarta,Hindu
2022,"August 19, 2022, Friday",Janmashtami *ISKCON,Hindu
2022,"August 31, 2022, Wednesday",Ganesh Chaturthi,Hindu
2022,"August 4, 2022, Thursday",Tulsidas Jayanti,Hindu
2022,"August 7, 2022, Sunday",Friendship Day,Modern
2022,"August 8, 2022, Monday",Day of Ashura,Islamic
2022,"August 8, 2022, Monday",Muharram,Islamic
2022,"December 1, 2022, Thursday",World AIDS Day,Modern
2022,"December 22, 2022, Thursday",Shortest Day of Year,Hindu
2022,"December 25, 2022, Sunday",Merry Christmas,Christian
2022,"December 29, 2022, Thursday",Guru Gobind Singh Jayanti,Hindu
2022,"February 14, 2022, Monday",Valentine's Day,Modern
2022,"February 15, 2022, Tuesday",Hazarat Ali's Birthday,Islamic
2022,"February 16, 2022, Wednesday",Guru Ravidas Jayanti,Hindu
2022,"February 19, 2022, Saturday",Chhatrapati Shivaji Maharaj Jayanti,Govt
2022,"February 26, 2022, Saturday",Maharishi Dayanand Saraswati Jayanti,Hindu
2022,"February 4, 2022, Friday",World Cancer Day,Modern
2022,"February 5, 2022, Saturday",Vasant Panchami,Hindu
2022,"January 1, 2022, Saturday",English New Year,Christian
2022,"January 12, 2022, Wednesday",Swami Vivekananda Jayanti,Govt
2022,"January 12, 2022, Wednesday",National Youth Day,Modern
2022,"January 13, 2022, Thursday",Tailang Swami Jayanti,Hindu
2022,"January 13, 2022, Thursday",Lohri,Sikh
2022,"January 14, 2022, Friday",Makara Sankranti,Hindu
2022,"January 14, 2022, Friday",Pongal,Hindu
2022,"January 23, 2022, Sunday",Subhas Chandra Bose Jayanti,Govt
2022,"January 25, 2022, Tuesday",Vivekananda Jayanti *Samvat,Hindu
2022,"January 26, 2022, Wednesday",Republic Day,Govt
2022,"January 30, 2022, Sunday",Gandhi Punyatithi,Govt
2022,"January 9, 2022, Sunday",Guru Gobind Singh Jayanti,Hindu
2022,"July 1, 2022, Friday",Jagannath Rathyatra,Hindu
2022,"July 10, 2022, Sunday",Eid al-Adha,Islamic
2022,"July 10, 2022, Sunday",Bakrid,Islamic
2022,"July 13, 2022, Wednesday",Guru Purnima,Hindu
2022,"July 30, 2022, Saturday",Al-Hijra,Islamic
2022,"July 30, 2022, Saturday",Islamic New Year,Islamic
2022,"June 14, 2022, Tuesday",Kabirdas Jayanti,Hindu
2022,"June 19, 2022, Sunday",Father's Day,Modern
2022,"June 2, 2022, Thursday",Maharana Pratap Jayanti,Hindu
2022,"June 21, 2022, Tuesday",Longest Day of Year,Hindu
2022,"June 21, 2022, Tuesday",International Yoga Day,Modern
2022,"June 5, 2022, Sunday",World Environment Day,Modern
2022,"March 1, 2022, Tuesday",Maha Shivaratri,Hindu
2022,"March 17, 2022, Thursday",Chhoti Holi,Hindu
2022,"March 17, 2022, Thursday",Holika Dahan,Hindu
2022,"March 18, 2022, Friday",Chaitanya Mahaprabhu Jayanti,Hindu
2022,"March 18, 2022, Friday",Holi,Hindu
2022,"March 20, 2022, Sunday",Vernal Equinox,Hindu
2022,"March 20, 2022, Sunday",Parsi New Year,Hindu
2022,"March 21, 2022, Monday",Chhatrapati Shivaji Maharaj Jayanti,Hindu
2022,"March 23, 2022, Wednesday",Shaheed Diwas,Govt
2022,"March 4, 2022, Friday",Ramakrishna Jayanti,Hindu
2022,"March 8, 2022, Tuesday",International Women's Day,Modern
2022,"May 1, 2022, Sunday",World Laughter Day,Modern
2022,"May 1, 2022, Sunday",International Workers' Day,Modern
2022,"May 16, 2022, Monday",Buddha Purnima,Hindu
2022,"May 3, 2022, Tuesday",Eid al-Fitr,Islamic
2022,"May 3, 2022, Tuesday",Ramadan,Islamic
2022,"May 31, 2022, Tuesday",World No Tobacco Day,Modern
2022,"May 6, 2022, Friday",Shankaracharya Jayanti,Hindu
2022,"May 6, 2022, Friday",Surdas Jayanti,Hindu
2022,"May 7, 2022, Saturday",Rabindranath Tagore Jayanti,Govt
2022,"May 8, 2022, Sunday",Mother's Day,Modern
2022,"November 14, 2022, Monday",Nehru Jayanti,Govt
2022,"November 14, 2022, Monday",Children's Day,Modern
2022,"November 8, 2022, Tuesday",Guru Nanak Jayanti,Hindu
2022,"October 13, 2022, Thursday",Karwa Chauth,Hindu
2022,"October 2, 2022, Sunday",Gandhi Jayanti,Govt
2022,"October 24, 2022, Monday",Lakshmi Puja,Hindu
2022,"October 24, 2022, Monday",Narak Chaturdashi,Hindu
2022,"October 24, 2022, Monday",Diwali,Hindu
2022,"October 26, 2022, Wednesday",Govardhan Puja,Hindu
2022,"October 26, 2022, Wednesday",Bhaiya Dooj,Hindu
2022,"October 3, 2022, Monday",Durga Ashtami,Hindu
2022,"October 30, 2022, Sunday",Chhath Puja,Hindu
2022,"October 4, 2022, Tuesday",Maha Navami,Hindu
2022,"October 5, 2022, Wednesday",Dussehra,Hindu
2022,"October 5, 2022, Wednesday",Madhvacharya Jayanti,Hindu
2022,"October 8, 2022, Saturday",Milad un-Nabi,Islamic
2022,"October 8, 2022, Saturday",Eid-e-Milad,Islamic
2022,"October 9, 2022, Sunday",Valmiki Jayanti,Hindu
2022,"October 9, 2022, Sunday",Meerabai Jayanti,Hindu
2022,"September 14, 2022, Wednesday",Hindi Diwas,Modern
2022,"September 15, 2022, Thursday",Visvesvaraya Jayanti,Govt
2022,"September 15, 2022, Thursday",Engineer's Day,Modern
2022,"September 23, 2022, Friday",Autumnal Equinox,Hindu
2022,"September 26, 2022, Monday",Maharaja Agrasen Jayanti,Hindu
2022,"September 5, 2022, Monday",Teachers' Day,Modern
2022,"September 8, 2022, Thursday",Onam,Hindu
2023,"April 1, 2023, Saturday",Bank's Holiday,Govt
2023,"April 14, 2023, Friday",Solar New Year,Hindu
2023,"April 14, 2023, Friday",Ambedkar Jayanti,Govt
2023,"April 14, 2023, Friday",Baisakhi,Sikh
2023,"April 16, 2023, Sunday",Vallabhacharya Jayanti,Hindu
2023,"April 21, 2023, Friday",Jamat Ul-Vida,Islamic
2023,"April 22, 2023, Saturday",Eid al-Fitr,Islamic
2023,"April 22, 2023, Saturday",Ramadan,Islamic
2023,"April 22, 2023, Saturday",Earth Day,Modern
2023,"April 25, 2023, Tuesday",Shankaracharya Jayanti,Hindu
2023,"April 25, 2023, Tuesday",Surdas Jayanti,Hindu
2023,"April 4, 2023, Tuesday",Mahavir Swami Jayanti,Hindu
2023,"April 7, 2023, Friday",Good Friday,Christian
2023,"April 9, 2023, Sunday",Easter,Christian
2023,"August 15, 2023, Tuesday",Independence Day,Govt
2023,"August 23, 2023, Wednesday",Tulsidas Jayanti,Hindu
2023,"August 29, 2023, Tuesday",Onam,Hindu
2023,"August 30, 2023, Wednesday",Raksha Bandhan,Hindu
2023,"August 30, 2023, Wednesday",Rakhi,Hindu
2023,"August 6, 2023, Sunday",Friendship Day,Modern
2023,"December 1, 2023, Friday",World AIDS Day,Modern
2023,"December 22, 2023, Friday",Shortest Day of Year,Hindu
2023,"December 25, 2023, Monday",Merry Christmas,Christian
2023,"February 14, 2023, Tuesday",Valentine's Day,Modern
2023,"February 15, 2023, Wednesday",Maharishi Dayanand Saraswati Jayanti,Hindu
2023,"February 18, 2023, Saturday",Maha Shivaratri,Hindu
2023,"February 19, 2023, Sunday",Chhatrapati Shivaji Maharaj Jayanti,Govt
2023,"February 21, 2023, Tuesday",Ramakrishna Jayanti,Hindu
2023,"February 4, 2023, Saturday",Hazarat Ali's Birthday,Islamic
2023,"February 4, 2023, Saturday",World Cancer Day,Modern
2023,"February 5, 2023, Sunday",Guru Ravidas Jayanti,Hindu
2023,"January 1, 2023, Sunday",English New Year,Christian
2023,"January 12, 2023, Thursday",Swami Vivekananda Jayanti,Govt
2023,"January 12, 2023, Thursday",National Youth Day,Modern
2023,"January 14, 2023, Saturday",Vivekananda Jayanti *Samvat,Hindu
2023,"January 14, 2023, Saturday",Lohri,Sikh
2023,"January 15, 2023, Sunday",Makara Sankranti,Hindu
2023,"January 15, 2023, Sunday",Pongal,Hindu
2023,"January 2, 2023, Monday",Tailang Swami Jayanti,Hindu
2023,"January 23, 2023, Monday",Subhas Chandra Bose Jayanti,Govt
2023,"January 26, 2023, Thursday",Vasant Panchami,Hindu
2023,"January 26, 2023, Thursday",Republic Day,Govt
2023,"January 30, 2023, Monday",Gandhi Punyatithi,Govt
2023,"July 19, 2023, Wednesday",Al-Hijra,Islamic
2023,"July 19, 2023, Wednesday",Islamic New Year,Islamic
2023,"July 28, 2023, Friday",Day of Ashura,Islamic
2023,"July 28, 2023, Friday",Muharram,Islamic
2023,"July 3, 2023, Monday",Guru Purnima,Hindu
2023,"June 18, 2023, Sunday",Father's Day,Modern
2023,"June 20, 2023, Tuesday",Jagannath Rathyatra,Hindu
2023,"June 21, 2023, Wednesday",Longest Day of Year,Hindu
2023,"June 21, 2023, Wednesday",International Yoga Day,Modern
2023,"June 29, 2023, Thursday",Eid al-Adha,Islamic
2023,"June 29, 2023, Thursday",Bakrid,Islamic
2023,"June 4, 2023, Sunday",Kabirdas Jayanti,Hindu
2023,"June 5, 2023, Monday",World Environment Day,Modern
2023,"March 10, 2023, Friday",Chhatrapati Shivaji Maharaj Jayanti,Hindu
2023,"March 21, 2023, Tuesday",Vernal Equinox,Hindu
2023,"March 21, 2023, Tuesday",Parsi New Year,Hindu
2023,"March 22, 2023, Wednesday",Ugadi,Hindu
2023,"March 22, 2023, Wednesday",Gudi Padwa,Hindu
2023,"March 22, 2023, Wednesday",Jhulelal Jayanti,Hindu
2023,"March 23, 2023, Thursday",Shaheed Diwas,Govt
2023,"March 30, 2023, Thursday",Rama Navami,Hindu
2023,"March 7, 2023, Tuesday",Chhoti Holi,Hindu
2023,"March 7, 2023, Tuesday",Holika Dahan,Hindu
2023,"March 7, 2023, Tuesday",Chaitanya Mahaprabhu Jayanti,Hindu
2023,"March 8, 2023, Wednesday",Holi,Hindu
2023,"March 8, 2023, Wednesday",International Women's Day,Modern
