year,date,event,type
2027,"January 19, 2027, Tuesday",Tailang Swami Jayanti,Hindu
2027,"January 23, 2027, Saturday",Subhas Chandra Bose Jayanti,Govt
2027,"January 26, 2027, Tuesday",Republic Day,Govt
2027,"January 28, 2027, Thursday",Vivekananda Jayanti *Samvat,Hindu
2027,"January 30, 2027, Saturday",Gandhi Punyatithi,Govt
2027,"July 18, 2027, Sunday",Guru Purnima,Hindu
2027,"July 5, 2027, Monday",Jagannath Rathyatra,Hindu
2027,"June 15, 2027, Tuesday",Day of Ashura,Islamic
2027,"June 15, 2027, Tuesday",Muharram,Islamic
2027,"June 18, 2027, Friday",Kabirdas Jayanti,Hindu
2027,"June 20, 2027, Sunday",Father's Day,Modern
2027,"June 21, 2027, Monday",Longest Day of Year,Hindu
2027,"June 21, 2027, Monday",International Yoga Day,Modern
2027,"June 5, 2027, Saturday",World Environment Day,Modern
2027,"June 6, 2027, Sunday",Al-Hijra,Islamic
2027,"June 6, 2027, Sunday",Islamic New Year,Islamic
2027,"June 7, 2027, Monday",Maharana Pratap Jayanti,Hindu
2027,"March 10, 2027, Wednesday",Ramakrishna Jayanti,Hindu
2027,"March 10, 2027, Wednesday",Eid al-Fitr,Islamic
2027,"March 10, 2027, Wednesday",Ramadan,Islamic
2027,"March 2, 2027, Tuesday",Maharishi Dayanand Saraswati Jayanti,Hindu
2027,"March 21, 2027, Sunday",Chhoti Holi,Hindu
2027,"March 21, 2027, Sunday",Holika Dahan,Hindu
2027,"March 21, 2027, Sunday",Vernal Equinox,Hindu
2027,"March 21, 2027, Sunday",Parsi New Year,Hindu
2027,"March 22, 2027, Monday",Chaitanya Mahaprabhu Jayanti,Hindu
2027,"March 22, 2027, Monday",Holi,Hindu
2027,"March 23, 2027, Tuesday",Shaheed Diwas,Govt
2027,"March 25, 2027, Thursday",Chhatrapati Shivaji Maharaj Jayanti,Hindu
2027,"March 26, 2027, Friday",Good Friday,Christian
2027,"March 28, 2027, Sunday",Easter,Christian
2027,"March 5, 2027, Friday",Jamat Ul-Vida,Islamic
2027,"March 6, 2027, Saturday",Maha Shivaratri,Hindu
2027,"March 8, 2027, Monday",International Women's Day,Modern
2027,"May 1, 2027, Saturday",International Workers' Day,Modern
2027,"May 10, 2027, Monday",Shankaracharya Jayanti,Hindu
2027,"May 10, 2027, Monday",Surdas Jayanti,Hindu
2027,"May 17, 2027, Monday",Eid al-Adha,Islamic
2027,"May 17, 2027, Monday",Bakrid,Islamic
2027,"May 2, 2027, Sunday",Vallabhacharya Jayanti,Hindu
2027,"May 2, 2027, Sunday",World Laughter Day,Modern
2027,"May 20, 2027, Thursday",Buddha Purnima,Hindu
2027,"May 31, 2027, Monday",World No Tobacco Day,Modern
2027,"May 7, 2027, Friday",Rabindranath Tagore Jayanti,Govt
2027,"May 9, 2027, Sunday",Mother's Day,Modern
2027,"November 14, 2027, Sunday",Guru Nanak Jayanti,Hindu
2027,"November 14, 2027, Sunday",Nehru Jayanti,Govt
2027,"November 14, 2027, Sunday",Children's Day,Modern
2027,"November 4, 2027, Thursday",Chhath Puja,Hindu
2027,"October 10, 2027, Sunday",Madhvacharya Jayanti,Hindu
2027,"October 15, 2027, Friday",Valmiki Jayanti,Hindu
2027,"October 15, 2027, Friday",Meerabai Jayanti,Hindu
2027,"October 18, 2027, Monday",Karwa Chauth,Hindu
2027,"October 2, 2027, Saturday",Gandhi Jayanti,Govt
2027,"October 28, 2027, Thursday",Narak Chaturdashi,Hindu
2027,"October 29, 2027, Friday",Lakshmi Puja,Hindu
2027,"October 29, 2027, Friday",Diwali,Hindu
2027,"October 30, 2027, Saturday",Govardhan Puja,Hindu
2027,"October 31, 2027, Sunday",Bhaiya Dooj,Hindu
2027,"October 7, 2027, Thursday",Durga Ashtami,Hindu
2027,"October 8, 2027, Friday",Maha Navami,Hindu
2027,"October 9, 2027, Saturday",Dussehra,Hindu
2027,"September 12, 2027, Sunday",Onam,Hindu
2027,"September 14, 2027, Tuesday",Hindi Diwas,Modern
2027,"September 15, 2027, Wednesday",Visvesvaraya Jayanti,Govt
2027,"September 15, 2027, Wednesday",Engineer's Day,Modern
2027,"September 23, 2027, Thursday",Autumnal Equinox,Hindu
2027,"September 30, 2027, Thursday",Maharaja Agrasen Jayanti,Hindu
2027,"September 4, 2027, Saturday",Ganesh Chaturthi,Hindu
2027,"September 5, 2027, Sunday",Teachers' Day,Modern
2028,"April 1, 2028, Saturday",Bank's Holiday,Govt
2028,"April 13, 2028, Thursday",Solar New Year,Hindu
2028,"April 13, 2028, Thursday",Baisakhi,Sikh
2028,"April 14, 2028, Friday",Ambedkar Jayanti,Govt
2028,"April 14, 2028, Friday",Good Friday,Christian
2028,"April 16, 2028, Sunday",Easter,Christian
2028,"April 20, 2028, Thursday",Vallabhacharya Jayanti,Hindu
2028,"April 22, 2028, Saturday",Earth Day,Modern
2028,"April 29, 2028, Saturday",Shankaracharya Jayanti,Hindu
2028,"April 29, 2028, Saturday",Surdas Jayanti,Hindu
2028,"April 3, 2028, Monday",Rama Navami *Smarta,Hindu
2028,"April 4, 2028, Tuesday",Rama Navami *ISKCON,Hindu
2028,"April 7, 2028, Friday",Mahavir Swami Jayanti,Hindu
2028,"August 13, 2028, Sunday",Krishna Janmashtami,Hindu
2028,"August 15, 2028, Tuesday",Independence Day,Govt
2028,"August 23, 2028, Wednesday",Ganesh Chaturthi,Hindu
2028,"August 3, 2028, Thursday",Milad un-Nabi,Islamic
2028,"August 3, 2028, Thursday",Eid-e-Milad,Islamic
2028,"August 5, 2028, Saturday",Raksha Bandhan,Hindu
2028,"August 5, 2028, Saturday",Rakhi,Hindu
2028,"August 6, 2028, Sunday",Friendship Day,Modern
2028,"December 1, 2028, Friday",World AIDS Day,Modern
2028,"December 21, 2028, Thursday",Shortest Day of Year,Hindu
2028,"December 23, 2028, Saturday",Guru Gobind Singh Jayanti,Hindu
2028,"December 25, 2028, Monday",Merry Christmas,Christian
2028,"December 27, 2028, Wednesday",Tailang Swami Jayanti,Hindu
2028,"February 10, 2028, Thursday",Guru Ravidas Jayanti,Hindu
2028,"February 14, 2028, Monday",Valentine's Day,Modern
2028,"February 19, 2028, Saturday",Maharishi Dayanand Saraswati Jayanti,Hindu
2028,"February 19, 2028, Saturday",Chhatrapati Shivaji Maharaj Jayanti,Govt
2028,"February 23, 2028, Wednesday",Maha Shivaratri,Hindu
2028,"February 25, 2028, Friday",Jamat Ul-Vida,Islamic
2028,"February 27, 2028, Sunday",Ramakrishna Jayanti,Hindu
2028,"February 27, 2028, Sunday",Eid al-Fitr,Islamic
2028,"February 27, 2028, Sunday",Ramadan,Islamic
2028,"February 4, 2028, Friday",World Cancer Day,Modern
2028,"January 1, 2028, Saturday",English New Year,Christian
2028,"January 12, 2028, Wednesday",Swami Vivekananda Jayanti,Govt
2028,"January 12, 2028, Wednesday",National Youth Day,Modern
2028,"January 14, 2028, Friday",Lohri,Sikh
2028,"January 15, 2028, Saturday",Makara Sankranti,Hindu
2028,"January 15, 2028, Saturday",Pongal,Hindu
2028,"January 18, 2028, Tuesday",Vivekananda Jayanti *Samvat,Hindu
2028,"January 23, 2028, Sunday",Subhas Chandra Bose Jayanti,Govt
2028,"January 26, 2028, Wednesday",Republic Day,Govt
2028,"January 30, 2028, Sunday",Gandhi Punyatithi,Govt
2028,"January 31, 2028, Monday",Vasant Panchami,Hindu
2028,"January 4, 2028, Tuesday",Guru Gobind Singh Jayanti,Hindu
2028,"January 8, 2028, Saturday",Tailang Swami Jayanti,Hindu
2028,"July 28, 2028, Friday",Tulsidas Jayanti,Hindu
2028,"July 6, 2028, Thursday",Guru Purnima,Hindu
2028,"June 18, 2028, Sunday",Father's Day,Modern
2028,"June 21, 2028, Wednesday",Longest Day of Year,Hindu
2028,"June 21, 2028, Wednesday",International Yoga Day,Modern
2028,"June 24, 2028, Saturday",Jagannath Rathyatra,Hindu
2028,"June 3, 2028, Saturday",Day of Ashura,Islamic
2028,"June 3, 2028, Saturday",Muharram,Islamic
2028,"June 5, 2028, Monday",World Environment Day,Modern
2028,"June 7, 2028, Wednesday",Kabirdas Jayanti,Hindu
2028,"March 10, 2028, Friday",Chhoti Holi,Hindu
2028,"March 10, 2028, Friday",Holika Dahan,Hindu
2028,"March 10, 2028, Friday",Chaitanya Mahaprabhu Jayanti,Hindu
2028,"March 11, 2028, Saturday",Holi,Hindu
2028,"March 13, 2028, Monday",Chhatrapati Shivaji Maharaj Jayanti,Hindu
2028,"March 20, 2028, Monday",Vernal Equinox,Hindu
2028,"March 20, 2028, Monday",Parsi New Year,Hindu
2028,"March 23, 2028, Thursday",Shaheed Diwas,Govt
2028,"March 27, 2028, Monday",Ugadi,Hindu
2028,"March 27, 2028, Monday",Gudi Padwa,Hindu
2028,"March 27, 2028, Monday",Jhulelal Jayanti,Hindu
2028,"March 8, 2028, Wednesday",International Women's Day,Modern
2028,"May 1, 2028, Monday",International Workers' Day,Modern
2028,"May 14, 2028, Sunday",Mother's Day,Modern
2028,"May 25, 2028, Thursday",Al-Hijra,Islamic
2028,"May 25, 2028, Thursday",Islamic New Year,Islamic
2028,"May 27, 2028, Saturday",Maharana Pratap Jayanti,Hindu
2028,"May 31, 2028, Wednesday",World No Tobacco Day,Modern
2028,"May 5, 2028, Friday",Eid al-Adha,Islamic
2028,"May 5, 2028, Friday",Bakrid,Islamic
2028,"May 7, 2028, Sunday",Rabindranath Tagore Jayanti,Govt
2028,"May 7, 2028, Sunday",World Laughter Day,Modern
2028,"May 8, 2028, Monday",Buddha Purnima,Hindu
2028,"November 14, 2028, Tuesday",Nehru Jayanti,Govt
2028,"November 14, 2028, Tuesday",Children's Day,Modern
2028,"November 2, 2028, Thursday",Guru Nanak Jayanti,Hindu
2028,"November 30, 2028, Thursday",Hazarat Ali's Birthday,Islamic
2028,"October 17, 2028, Tuesday",Lakshmi Puja,Hindu
2028,"October 17, 2028, Tuesday",Narak Chaturdashi,Hindu
2028,"October 17, 2028, Tuesday",Diwali,Hindu
2028,"October 18, 2028, Wednesday",Govardhan Puja,Hindu
2028,"October 19, 2028, Thursday",Bhaiya Dooj,Hindu
2028,"October 2, 2028, Monday",Gandhi Jayanti,Govt
2028,"October 23, 2028, Monday",Chhath Puja,Hindu
2028,"October 3, 2028, Tuesday",Valmiki Jayanti,Hindu
2028,"October 3, 2028, Tuesday",Meerabai Jayanti,Hindu
2028,"October 7, 2028, Saturday",Karwa Chauth,Hindu
2028,"September 1, 2028, Friday",Onam,Hindu
2028,"September 14, 2028, Thursday",Hindi Diwas,Modern
2028,"September 15, 2028, Friday",Visvesvaraya Jayanti,Govt
2028,"September 15, 2028, Friday",Engineer's Day,Modern
2028,"September 19, 2028, Tuesday",Maharaja Agrasen Jayanti,Hindu
2028,"September 22, 2028, Friday",Autumnal Equinox,Hindu
2028,"September 26, 2028, Tuesday",Durga Ashtami,Hindu
2028,"September 26, 2028, Tuesday",Maha Navami,Hindu
2028,"September 27, 2028, Wednesday",Dussehra,Hindu
2028,"September 28, 2028, Thursday",Madhvacharya Jayanti,Hindu
2028,"September 5, 2028, Tuesday",Teachers' Day,Modern
2029,"April 1, 2029, Sunday",Bank's Holiday,Govt
2029,"April 1, 2029, Sunday",Easter,Christian
2029,"April 14, 2029, Saturday",Ugadi,Hindu
2029,"April 14, 2029, Saturday",Gudi Padwa,Hindu
2029,"April 14, 2029, Saturday",Solar New Year,Hindu
2029,"April 14, 2029, Saturday",Ambedkar Jayanti,Govt
2029,"April 14, 2029, Saturday",Baisakhi,Sikh
2029,"April 15, 2029, Sunday",Jhulelal Jayanti,Hindu
2029,"April 22, 2029, Sunday",Earth Day,Modern
2029,"April 23, 2029, Monday",Rama Navami,Hindu
2029,"April 24, 2029, Tuesday",Eid al-Adha,Islamic
2029,"April 24, 2029, Tuesday",Bakrid,Islamic
2029,"April 26, 2029, Thursday",Mahavir Swami Jayanti,Hindu
2029,"August 15, 2029, Wednesday",Independence Day,Govt
2029,"August 16, 2029, Thursday",Tulsidas Jayanti,Hindu
2029,"August 22, 2029, Wednesday",Onam,Hindu
2029,"August 23, 2029, Thursday",Raksha Bandhan,Hindu
2029,"August 23, 2029, Thursday",Rakhi,Hindu
2029,"August 5, 2029, Sunday",Friendship Day,Modern
2029,"December 1, 2029, Saturday",World AIDS Day,Modern
2029,"December 21, 2029, Friday",Shortest Day of Year,Hindu
2029,"December 25, 2029, Tuesday",Merry Christmas,Christian
2029,"February 11, 2029, Sunday",Maha Shivaratri,Hindu
2029,"February 14, 2029, Wednesday",Valentine's Day,Modern
2029,"February 15, 2029, Thursday",Ramakrishna Jayanti,Hindu
2029,"February 15, 2029, Thursday",Eid al-Fitr,Islamic
2029,"February 15, 2029, Thursday",Ramadan,Islamic
2029,"February 19, 2029, Monday",Chhatrapati Shivaji Maharaj Jayanti,Govt
2029,"February 28, 2029, Wednesday",Chhoti Holi,Hindu
2029,"February 28, 2029, Wednesday",Holika Dahan,Hindu
2029,"February 28, 2029, Wednesday",Chaitanya Mahaprabhu Jayanti,Hindu
2029,"February 4, 2029, Sunday",World Cancer Day,Modern
2029,"February 8, 2029, Thursday",Maharishi Dayanand Saraswati Jayanti,Hindu
2029,"February 9, 2029, Friday",Jamat Ul-Vida,Islamic
2029,"January 1, 2029, Monday",English New Year,Christian
2029,"January 12, 2029, Friday",Swami Vivekananda Jayanti,Govt
2029,"January 12, 2029, Friday",National Youth Day,Modern
2029,"January 13, 2029, Saturday",Lohri,Sikh
2029,"January 14, 2029, Sunday",Makara Sankranti,Hindu
2029,"January 14, 2029, Sunday",Pongal,Hindu
2029,"January 19, 2029, Friday",Vasant Panchami,Hindu
2029,"January 23, 2029, Tuesday",Subhas Chandra Bose Jayanti,Govt
2029,"January 26, 2029, Friday",Republic Day,Govt
2029,"January 30, 2029, Tuesday",Guru Ravidas Jayanti,Hindu
2029,"January 30, 2029, Tuesday",Gandhi Punyatithi,Govt
2029,"January 7, 2029, Sunday",Vivekananda Jayanti *Samvat,Hindu
2029,"July 13, 2029, Friday",Jagannath Rathyatra,Hindu
2029,"July 24, 2029, Tuesday",Milad un-Nabi,Islamic
2029,"July 24, 2029, Tuesday",Eid-e-Milad,Islamic
2029,"July 25, 2029, Wednesday",Guru Purnima,Hindu
2029,"June 15, 2029, Friday",Maharana Pratap Jayanti,Hindu
2029,"June 17, 2029, Sunday",Father's Day,Modern
2029,"June 21, 2029, Thursday",Longest Day of Year,Hindu
2029,"June 21, 2029, Thursday",International Yoga Day,Modern
2029,"June 26, 2029, Tuesday",Kabirdas Jayanti,Hindu
2029,"June 5, 2029, Tuesday",World Environment Day,Modern
2029,"March 1, 2029, Thursday",Holi,Hindu
2029,"March 20, 2029, Tuesday",Vernal Equinox,Hindu
2029,"March 20, 2029, Tuesday",Parsi New Year,Hindu
2029,"March 23, 2029, Friday",Shaheed Diwas,Govt
2029,"March 3, 2029, Saturday",Chhatrapati Shivaji Maharaj Jayanti,Hindu
2029,"March 30, 2029, Friday",Good Friday,Christian
2029,"March 8, 2029, Thursday",International Women's Day,Modern
2029,"May 1, 2029, Tuesday",International Workers' Day,Modern
2029,"May 13, 2029, Sunday",Mother's Day,Modern
2029,"May 15, 2029, Tuesday",Al-Hijra,Islamic
2029,"May 15, 2029, Tuesday",Islamic New Year,Islamic
2029,"May 18, 2029, Friday",Shankaracharya Jayanti,Hindu
2029,"May 18, 2029, Friday",Surdas Jayanti,Hindu
2029,"May 24, 2029, Thursday",Day of Ashura,Islamic
2029,"May 24, 2029, Thursday",Muharram,Islamic
2029,"May 27, 2029, Sunday",Buddha Purnima,Hindu
2029,"May 31, 2029, Thursday",World No Tobacco Day,Modern
2029,"May 6, 2029, Sunday",World Laughter Day,Modern
2029,"May 7, 2029, Monday",Rabindranath Tagore Jayanti,Govt
2029,"May 9, 2029, Wednesday",Vallabhacharya Jayanti,Hindu
2029,"November 11, 2029, Sunday",Chhath Puja,Hindu
2029,"November 14, 2029, Wednesday",Nehru Jayanti,Govt
2029,"November 14, 2029, Wednesday",Children's Day,Modern
2029,"November 20, 2029, Tuesday",Hazarat Ali's Birthday,Islamic
2029,"November 21, 2029, Wednesday",Guru Nanak Jayanti,Hindu
2029,"November 5, 2029, Monday",Lakshmi Puja,Hindu
2029,"November 5, 2029, Monday",Narak Chaturdashi,Hindu
2029,"November 5, 2029, Monday",Diwali,Hindu
2029,"November 6, 2029, Tuesday",Govardhan Puja,Hindu
2029,"November 7, 2029, Wednesday",Bhaiya Dooj,Hindu
2029,"October 14, 2029, Sunday",Durga Ashtami,Hindu
2029,"October 15, 2029, Monday",Maha Navami,Hindu
2029,"October 16, 2029, Tuesday",Dussehra,Hindu
2029,"October 16, 2029, Tuesday",Madhvacharya Jayanti,Hindu
2029,"October 2, 2029, Tuesday",Gandhi Jayanti,Govt
2029,"October 22, 2029, Monday",Valmiki Jayanti,Hindu
2029,"October 22, 2029, Monday",Meerabai Jayanti,Hindu
2029,"October 26, 2029, Friday",Karwa Chauth,Hindu
2029,"October 8, 2029, Monday",Maharaja Agrasen Jayanti,Hindu
2029,"September 1, 2029, Saturday",Krishna Janmashtami,Hindu
2029,"September 11, 2029, Tuesday",Ganesh Chaturthi,Hindu
2029,"September 14, 2029, Friday",Hindi Diwas,Modern
2029,"September 15, 2029, Saturday",Visvesvaraya Jayanti,Govt
2029,"September 15, 2029, Saturday",Engineer's Day,Modern
2029,"September 22, 2029, Saturday",Autumnal Equinox,Hindu
2029,"September 5, 2029, Wednesday",Teachers' Day,Modern
2030,"April 1, 2030, Monday",Bank's Holiday,Govt
2030,"April 12, 2030, Friday",Rama Navami,Hindu
2030,"April 14, 2030, Sunday",Solar New Year,Hindu
2030,"April 14, 2030, Sunday",Ambedkar Jayanti,Govt
2030,"April 14, 2030, Sunday",Eid al-Adha,Islamic
2030,"April 14, 2030, Sunday",Bakrid,Islamic
2030,"April 14, 2030, Sunday",Baisakhi,Sikh
2030,"April 16, 2030, Tuesday",Mahavir Swami Jayanti,Hindu
2030,"April 19, 2030, Friday",Good Friday,Christian
2030,"April 21, 2030, Sunday",Easter,Christian
2030,"April 22, 2030, Monday",Earth Day,Modern
2030,"April 28, 2030, Sunday",Vallabhacharya Jayanti,Hindu
2030,"April 3, 2030, Wednesday",Ugadi,Hindu
2030,"April 3, 2030, Wednesday",Gudi Padwa,Hindu
2030,"April 4, 2030, Thursday",Jhulelal Jayanti,Hindu
2030,"August 13, 2030, Tuesday",Raksha Bandhan,Hindu
2030,"August 13, 2030, Tuesday",Rakhi,Hindu
2030,"August 15, 2030, Thursday",Independence Day,Govt
2030,"August 21, 2030, Wednesday",Krishna Janmashtami,Hindu
2030,"August 4, 2030, Sunday",Friendship Day,Modern
2030,"August 6, 2030, Tuesday",Tulsidas Jayanti,Hindu
2030,"December 1, 2030, Sunday",World AIDS Day,Modern
2030,"December 22, 2030, Sunday",Shortest Day of Year,Hindu
2030,"December 25, 2030, Wednesday",Merry Christmas,Christian
2030,"December 30, 2030, Monday",Guru Gobind Singh Jayanti,Hindu
2030,"February 1, 2030, Friday",Jamat Ul-Vida,Islamic
2030,"February 14, 2030, Thursday",Valentine's Day,Modern
2030,"February 18, 2030, Monday",Guru Ravidas Jayanti,Hindu
2030,"February 19, 2030, Tuesday",Chhatrapati Shivaji Maharaj Jayanti,Govt
2030,"February 27, 2030, Wednesday",Maharishi Dayanand Saraswati Jayanti,Hindu
2030,"February 4, 2030, Monday",World Cancer Day,Modern
2030,"February 5, 2030, Tuesday",Eid al-Fitr,Islamic
2030,"February 5, 2030, Tuesday",Ramadan,Islamic
2030,"February 7, 2030, Thursday",Vasant Panchami,Hindu
2030,"January 1, 2030, Tuesday",English New Year,Christian
2030,"January 10, 2030, Thursday",Guru Gobind Singh Jayanti,Hindu
2030,"January 12, 2030, Saturday",Swami Vivekananda Jayanti,Govt
2030,"January 12, 2030, Saturday",National Youth Day,Modern
2030,"January 13, 2030, Sunday",Lohri,Sikh
2030,"January 14, 2030, Monday",Makara Sankranti,Hindu
2030,"January 14, 2030, Monday",Pongal,Hindu
2030,"January 15, 2030, Tuesday",Tailang Swami Jayanti,Hindu
2030,"January 23, 2030, Wednesday",Subhas Chandra Bose Jayanti,Govt
2030,"January 26, 2030, Saturday",Vivekananda Jayanti *Samvat,Hindu
2030,"January 26, 2030, Saturday",Republic Day,Govt
2030,"January 30, 2030, Wednesday",Gandhi Punyatithi,Govt
2030,"July 13, 2030, Saturday",Milad un-Nabi,Islamic
2030,"July 13, 2030, Saturday",Eid-e-Milad,Islamic
2030,"July 15, 2030, Monday",Guru Purnima,Hindu
2030,"July 2, 2030, Tuesday",Jagannath Rathyatra,Hindu
2030,"June 15, 2030, Saturday",Kabirdas Jayanti,Hindu
2030,"June 16, 2030, Sunday",Father's Day,Modern
2030,"June 21, 2030, Friday",Longest Day of Year,Hindu
2030,"June 21, 2030, Friday",International Yoga Day,Modern
2030,"June 4, 2030, Tuesday",Maharana Pratap Jayanti,Hindu
2030,"June 5, 2030, Wednesday",World Environment Day,Modern
2030,"March 19, 2030, Tuesday",Chhoti Holi,Hindu
2030,"March 19, 2030, Tuesday",Holika Dahan,Hindu
2030,"March 19, 2030, Tuesday",Chaitanya Mahaprabhu Jayanti,Hindu
2030,"March 2, 2030, Saturday",Maha Shivaratri,Hindu
2030,"March 20, 2030, Wednesday",Holi,Hindu
2030,"March 20, 2030, Wednesday",Vernal Equinox,Hindu
2030,"March 20, 2030, Wednesday",Parsi New Year,Hindu
2030,"March 22, 2030, Friday",Chhatrapati Shivaji Maharaj Jayanti,Hindu
2030,"March 23, 2030, Saturday",Shaheed Diwas,Govt
2030,"March 6, 2030, Wednesday",Ramakrishna Jayanti,Hindu
2030,"March 8, 2030, Friday",International Women's Day,Modern
2030,"May 1, 2030, Wednesday",International Workers' Day,Modern
2030,"May 12, 2030, Sunday",Mother's Day,Modern
2030,"May 13, 2030, Monday",Day of Ashura,Islamic
2030,"May 13, 2030, Monday",Muharram,Islamic
2030,"May 17, 2030, Friday",Buddha Purnima,Hindu
2030,"May 31, 2030, Friday",World No Tobacco Day,Modern
2030,"May 4, 2030, Saturday",Al-Hijra,Islamic
2030,"May 4, 2030, Saturday",Islamic New Year,Islamic
2030,"May 5, 2030, Sunday",World Laughter Day,Modern
2030,"May 7, 2030, Tuesday",Rabindranath Tagore Jayanti,Govt
2030,"May 8, 2030, Wednesday",Shankaracharya Jayanti,Hindu
2030,"May 8, 2030, Wednesday",Surdas Jayanti,Hindu
2030,"November 1, 2030, Friday",Chhath Puja,Hindu
2030,"November 10, 2030, Sunday",Guru Nanak Jayanti,Hindu
2030,"November 14, 2030, Thursday",Nehru Jayanti,Govt
2030,"November 14, 2030, Thursday",Children's Day,Modern
2030,"November 9, 2030, Saturday",Hazarat Ali's Birthday,Islamic
2030,"October 11, 2030, Friday",Valmiki Jayanti,Hindu
2030,"October 11, 2030, Friday",Meerabai Jayanti,Hindu
2030,"October 15, 2030, Tuesday",Karwa Chauth,Hindu
2030,"October 2, 2030, Wednesday",Gandhi Jayanti,Govt
2030,"October 26, 2030, Saturday",Lakshmi Puja,Hindu
2030,"October 26, 2030, Saturday",Narak Chaturdashi,Hindu
2030,"October 26, 2030, Saturday",Diwali,Hindu
2030,"October 27, 2030, Sunday",Govardhan Puja,Hindu
2030,"October 28, 2030, Monday",Bhaiya Dooj,Hindu
2030,"October 4, 2030, Friday",Durga Ashtami,Hindu
2030,"October 5, 2030, Saturday",Maha Navami,Hindu
2030,"October 6, 2030, Sunday",Dussehra,Hindu
2030,"October 6, 2030, Sunday",Madhvacharya Jayanti,Hindu
2030,"September 1, 2030, Sunday",Ganesh Chaturthi,Hindu
2030,"September 14, 2030, Saturday",Hindi Diwas,Modern
2030,"September 15, 2030, Sunday",Visvesvaraya Jayanti,Govt
2030,"September 15, 2030, Sunday",Engineer's Day,Modern
2030,"September 23, 2030, Monday",Autumnal Equinox,Hindu
2030,"September 28, 2030, Saturday",Maharaja Agrasen Jayanti,Hindu
2030,"September 5, 2030, Thursday",Teachers' Day,Modern
2030,"September 9, 2030, Monday",Onam,Hindu